TMIN_0,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8
-0.1819023757281766,1.488746475787351,3.1593953273028785,4.830044178818406,6.500693030333934,8.171341881849461,9.84199073336499,11.512639584880516,13.183288436396044
-0.8637285470471578,0.8773673490647365,2.6184632451766308,4.359559141288525,6.100655037400419,7.841750933512314,9.582846829624208,11.323942725736103,13.065038621847997
-0.6322238221738952,1.0901187954237737,2.8124614130214427,4.534804030619112,6.25714664821678,7.979489265814449,9.701831883412119,11.424174501009787,13.146517118607456
0.3439925239407982,2.0222466609936607,3.700500798046523,5.378754935099385,7.057009072152248,8.73526320920511,10.413517346257972,12.091771483310835,13.770025620363697
0.508409804013736,2.1233018388928735,3.738193873772011,5.353085908651149,6.967977943530286,8.582869978409423,10.197762013288562,11.8126540481677,13.427546083046837
0.1296160772425909,1.9149883878897744,3.700360698536958,5.485733009184141,7.2711053198313245,9.05647763047851,10.841849941125693,12.627222251772876,14.41259456242006
0.9739029580022778,2.68717488431467,4.400446810627062,6.113718736939454,7.826990663251847,9.540262589564238,11.25353451587663,12.966806442189021,14.680078368501414
0.426571037186257,2.198456174822702,3.970341312459147,5.7422264500955915,7.514111587732036,9.28599672536848,11.057881863004926,12.82976700064137,14.601652138277815
0.6803630009716857,2.3743388565203,4.068314712068914,5.762290567617528,7.456266423166142,9.150242278714757,10.844218134263372,12.538193989811983,14.232169845360598
0.7039280122780142,2.5170307927989755,4.330133573319936,6.143236353840898,7.956339134361859,9.76944191488282,11.582544695403781,13.395647475924743,15.208750256445704
1.6749694823282766,3.328388082793006,4.9818066832577355,6.635225283722465,8.288643884187195,9.942062484651924,11.595481085116653,13.248899685581383,14.902318286046112
1.5856730282423055,3.2652864425546135,4.944899856866922,6.62451327117923,8.304126685491537,9.983740099803846,11.663353514116155,13.342966928428462,15.02258034274077
2.1268366809987924,3.7736716972301947,5.420506713461597,7.067341729692998,8.714176745924402,10.361011762155803,12.007846778387204,13.654681794618607,15.301516810850009
2.459932207977177,4.147704954352758,5.835477700728338,7.523250447103917,9.211023193479498,10.898795939855079,12.586568686230658,14.274341432606239,15.96211417898182
2.673765436737215,4.342828039244165,6.0118906417511155,7.680953244258067,9.350015846765018,11.019078449271968,12.688141051778919,14.357203654285868,16.02626625679282
2.2741217370365936,3.952297707477568,5.630473677918542,7.308649648359516,8.986825618800491,10.665001589241466,12.343177559682438,14.021353530123413,15.699529500564388
2.6501931296156505,4.404344739116336,6.158496348617021,7.912647958117707,9.66679956761839,11.420951177119075,13.175102786619764,14.929254396120449,16.683406005621134
2.80238769152578,4.454365677245281,6.1063436629647825,7.758321648684284,9.410299634403785,11.062277620123286,12.714255605842787,14.366233591562288,16.01821157728179
2.973454420863112,4.680621934218394,6.387789447573676,8.094956960928958,9.80212447428424,11.50929198763952,13.216459500994802,14.923627014350084,16.630794527705365
3.6098691199677577,5.275992257672581,6.942115395377405,8.608238533082227,10.274361670787052,11.940484808491874,13.606607946196698,15.272731083901522,16.938854221606345
3.5702779774468985,5.326264141977717,7.082250306508535,8.838236471039354,10.594222635570173,12.35020880010099,14.106194964631808,15.862181129162629,17.618167293693446
4.439315299283977,6.057434869747251,7.675554440210524,9.293674010673797,10.911793581137072,12.529913151600343,14.148032722063618,15.766152292526893,17.384271862990165
3.524322221650777,5.2843983865928195,7.0444745515348615,8.804550716476903,10.564626881418945,12.324703046360987,14.08477921130303,15.844855376245071,17.604931541187113
3.488459710715631,5.181955850582067,6.8754519904485045,8.568948130314942,10.262444270181378,11.955940410047814,13.649436549914252,15.342932689780689,17.036428829647125
4.370652910644632,6.026532667827805,7.682412425010978,9.33829218219415,10.994171939377324,12.650051696560496,14.305931453743668,15.961811210926843,17.617690968110015
4.309333841934999,5.9815553337854475,7.653776825635896,9.325998317486345,10.998219809336792,12.67044130118724,14.34266279303769,16.01488428488814,17.687105776738587
4.729692111048606,6.327941737905118,7.926191364761631,9.524440991618143,11.122690618474657,12.720940245331168,14.319189872187682,15.917439499044193,17.515689125900707
4.798832993913978,6.420965707656979,8.04309842139998,9.665231135142982,11.287363848885981,12.909496562628982,14.531629276371984,16.153761990114987,17.775894703857986
4.028367220015639,5.769597688767458,7.510828157519279,9.252058626271099,10.993289095022918,12.734519563774738,14.475750032526559,16.21698050127838,17.958210970030198
4.706535910559376,6.383123119423854,8.059710328288332,9.73629753715281,11.412884746017287,13.089471954881766,14.766059163746243,16.442646372610724,18.1192335814752
3.999240992990213,5.736933683905216,7.474626374820218,9.21231906573522,10.950011756650223,12.687704447565226,14.425397138480228,16.163089829395233,17.900782520310234
